url,deapth,title,authors,source,number and pages,doi,published,citation,metric,abstract,references
https://dl.acm.org/doi/10.1145/2996913.2996996,0,Demand driven store site selection via multiple spatial-temporal data,"['Mengwen Xu', 'Tianyi Wang', 'Zhengwei Wu', 'Jingbo Zhou', 'Jian Li', 'Haishan Wu']",SIGSPACIAL '16: Proceedings of the 24th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,"Article No.: 40, Pages 1 - 10",https://doi.org/10.1145/2996913.2996996,31 October 2016,26,617,"Choosing a good location when opening a new store is crucial for the future success of a business. Traditional methods include offline manual survey, analytic models based on census data, which are either unable to adapt to the dynamic market or very time consuming. The rapid increase of the availability of big data from various types of mobile devices, such as online query data and offline positioning data, provides us with the possibility to develop automatic and accurate data- driven prediction models for business store site selection. In this paper, we propose a Demand Driven Store Site Selection (DD3S) framework for business store site selection by mining search query data from Baidu Maps. DD3S first detects the spatial-temporal distributions of customer demands on different business services via query data from Baidu Maps, the largest online map search engine in China, and detects the gaps between demand and supply. Then we determine candidate locations via clustering such gaps. In the final stage, we solve the location optimization problem by predicting and ranking the number of customers. We not only deploy supervised regression models to predict the number of customers, but also use learning-to-rank model to directly rank the locations. We evaluate our framework on various types of businesses in real-world cases, and the experiment results demonstrate the effectiveness of our methods. DD3S as the core function for store site selection has already been implemented as a core component of our business analytics platform and could be potentially used by chain store merchants on Baidu Nuomi.","['https://dl.acm.org/doi/10.1016/S0305-0548(01)00079-X', 'https://dl.acm.org/doi/10.1023/A:1010933404324', 'https://dl.acm.org/doi/10.1145/2588555.2612172', 'https://dl.acm.org/doi/10.1109/34.1000236', 'https://dl.acm.org/doi/10.1109/ICDM.2014.18', 'https://dl.acm.org/doi/10.1145/2623330.2623675', 'https://dl.acm.org/doi/10.1145/1869790.1869866', 'https://dl.acm.org/doi/10.1109/5254.708428', 'https://dl.acm.org/doi/10.1145/582415.582418', 'https://dl.acm.org/doi/10.1145/2487575.2487616', 'https://dl.acm.org/doi/10.1145/1559795.1559835', 'https://dl.acm.org/doi/10.1145/2820783.2820876', 'https://dl.acm.org/doi/10.5555/1953048.2078195', 'https://dl.acm.org/doi/10.1145/2488388.2488480', 'https://dl.acm.org/doi/10.1109/ICDE.2011.5767845']"
https://dl.acm.org/doi/10.1145/2996913.2996996,1,The generalized maximal covering location problem,"['Oded Berman', 'Dmitry Krass']",Computers and Operations Research,,https://doi.org/10.1016/S0305-0548(01)00079-X,01 May 2002,34,0,"We consider a generalization of the maximal cover location problem which allows for partial coverage of customers, with the degree of coverage being a non-increasing step function of the distance to the nearest facility. Potential application areas for this generalized model to locating retail facilities are discussed.We show that, in general, our problem is equivalent to the uncapacitated facility location problem. We develop several integer programming formulations that capitalize on the special structure of our problem. Extensive computational analysis of the solvability of our model under a variety of conditions is presented.",[]
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Random Forests,['Leo Breiman'],Machine Learning,,https://doi.org/10.1023/A:1010933404324,01 October 2001,"9,828",0,"Random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest. The generalization error for forests converges a.s. to a limit as the number of trees in the forest becomes large. The generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them. Using a random selection of features to split each node yields error rates that compare favorably to Adaboost (Y. Freund & R. Schapire, Machine Learning: Proceedings of the Thirteenth International conference, ***, 148–156), but are more robust with respect to noise. Internal estimates monitor error, strength, and correlation and these are used to show the response to increasing the number of features used in the splitting. Internal estimates are also used to measure variable importance. These ideas are also applicable to regression.","['https://dl.acm.org/doi/10.1162/neco.1997.9.7.1545', 'https://dl.acm.org/doi/10.1023/A:1007515423169', 'https://dl.acm.org/doi/10.1023/A:1007607513941', 'https://dl.acm.org/doi/10.5555/295240.295766', 'https://dl.acm.org/doi/10.1109/34.709601', 'https://dl.acm.org/doi/10.1109/34.857004', 'https://dl.acm.org/doi/10.1023/A:1007519102914']"
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Efficient algorithms for optimal location queries in road networks,"['Zitong Chen', 'Yubao Liu', 'Raymond Chi-Wing Wong', 'Jiamin Xiong', 'Ganglin Mai', 'Cheng Long']",SIGMOD '14: Proceedings of the 2014 ACM SIGMOD International Conference on Management of Data,,https://doi.org/10.1145/2588555.2612172,18 June 2014,47,790,"In this paper, we study the optimal location query problem based on road networks. Specifically, we have a road network on which some clients and servers are located. Each client finds the server that is closest to her for service and her cost of getting served is equal to the (network) distance between the client and the server serving her multiplied by her weight or importance. The optimal location query problem is to find a location for setting up a new server such that the maximum cost of clients being served by the servers (including the new server) is minimized. This problem has been studied before, but the state-of-the-art is still not efficient enough. In this paper, we propose an efficient algorithm for the optimal location query problem, which is based on a novel idea of \emph{nearest location component}. We also discuss three extensions of the optimal location query problem, namely the optimal multiple-location query problem, the optimal location query problem on 3D road networks, and the optimal location query problem with another objective. Extensive experiments were conducted which showed that our algorithms are faster than the state-of-the-art by at least an order of magnitude on large real benchmark datasets. For example, on our largest real datasets, the state-of-the-art ran for more than 10 hours but our algorithm ran within 3 minutes only (i.e., >200 times faster).","['https://dl.acm.org/doi/10.14778/2350229.2350230', 'https://dl.acm.org/doi/10.5555/261226', 'https://dl.acm.org/doi/10.1007/BF01386390', 'https://dl.acm.org/doi/10.1007/11535331_10', 'https://dl.acm.org/doi/10.1016/0020-0190(89)90136-1', 'https://dl.acm.org/doi/10.1109/MDM.2013.24', 'https://dl.acm.org/doi/10.1007/s10115-012-0527-4', 'https://dl.acm.org/doi/10.1109/ICDE.2012.45', 'https://dl.acm.org/doi/10.1287/mnsc.29.4.498', 'https://dl.acm.org/doi/10.14778/1687627.1687754', 'https://dl.acm.org/doi/10.1007/s00778-011-0230-1', 'https://dl.acm.org/doi/10.1109/ICDE.2011.5767845', 'https://dl.acm.org/doi/10.1145/2063576.2063788', 'https://dl.acm.org/doi/10.5555/1182635.1164183', 'https://dl.acm.org/doi/10.1109/ICDE.2011.5767892']"
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Mean Shift: A Robust Approach Toward Feature Space Analysis,"['Dorin Comaniciu', 'Peter Meer']",IEEE Transactions on Pattern Analysis and Machine Intelligence,,https://doi.org/10.1109/34.1000236,01 May 2002,"2,062",0,"A general nonparametric technique is proposed for the analysis of a complex multimodal feature space and to delineate arbitrarily shaped clusters in it. The basic computational module of the technique is an old pattern recognition procedure, the mean shift. We prove for discrete data the convergence of a recursive mean shift procedure to the nearest stationary point of the underlying density function and, thus, its utility in detecting the modes of the density. The relation of the mean shift procedure to the Nadaraya-Watson estimator from kernel regression and the robust M-estimators of location is also established. Algorithms for two low-level vision tasks, discontinuity preserving smoothing and image segmentation, are described as applications. In these algorithms, the only user set parameter is the resolution of the analysis and either gray level or color images are accepted as input. Extensive experimental results illustrate their excellent performance.","['https://dl.acm.org/doi/10.1007/BF00128233', 'https://dl.acm.org/doi/10.1109/83.661192', 'https://dl.acm.org/doi/10.5555/521384.836819', 'https://dl.acm.org/doi/10.1109/34.400568', 'https://dl.acm.org/doi/10.5555/930734', 'https://dl.acm.org/doi/10.5555/794189.794503', 'https://dl.acm.org/doi/10.1007/s100440050011', 'https://dl.acm.org/doi/10.5555/850924.851593', 'https://dl.acm.org/doi/10.5555/645314.649432', 'https://dl.acm.org/doi/10.1109/34.745732', 'https://dl.acm.org/doi/10.5555/92131', 'https://dl.acm.org/doi/10.1109/TIT.1975.1055330', 'https://dl.acm.org/doi/10.1109/34.632985', 'https://dl.acm.org/doi/10.1016/0167-8655(96)00085-2', 'https://dl.acm.org/doi/10.1109/78.324744', 'https://dl.acm.org/doi/10.5555/42779', 'https://dl.acm.org/doi/10.1109/34.824819', 'https://dl.acm.org/doi/10.1109/TPAMI.1985.4767641', 'https://dl.acm.org/doi/10.1109/83.855433', 'https://dl.acm.org/doi/10.1006/cviu.1999.0801', 'https://dl.acm.org/doi/10.1109/34.88566', 'https://dl.acm.org/doi/10.1109/34.790435', 'https://dl.acm.org/doi/10.5555/850924.851560', 'https://dl.acm.org/doi/10.5555/2775786.2776700', 'https://dl.acm.org/doi/10.1109/34.56205', 'https://dl.acm.org/doi/10.1109/83.551697', 'https://dl.acm.org/doi/10.5555/130597', 'https://dl.acm.org/doi/10.5555/876866.877492', 'https://dl.acm.org/doi/10.1016/0734-189X(89)90036-4', 'https://dl.acm.org/doi/10.1109/34.87339', 'https://dl.acm.org/doi/10.5555/150195', 'https://dl.acm.org/doi/10.1109/83.568922', 'https://dl.acm.org/doi/10.5555/938978.939190', 'https://dl.acm.org/doi/10.5555/938978.939130', 'https://dl.acm.org/doi/10.5555/92641.92662', 'https://dl.acm.org/doi/10.1109/34.598236', 'https://dl.acm.org/doi/10.1109/34.537343', 'https://dl.acm.org/doi/10.1109/83.535841']"
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Sparse Real Estate Ranking with Online User Reviews and Offline Moving Behaviors,"['Yanjie Fu', 'Yong Ge', 'Yu Zheng', 'Zijun Yao', 'Yanchi Liu', 'Hui Xiong', 'Jing Yuan']",ICDM '14: Proceedings of the 2014 IEEE International Conference on Data Mining,,https://doi.org/10.1109/ICDM.2014.18,14 December 2014,31,0,"Ranking residential real estates based on investment values can provide decision making support for home buyers and thus plays an important role in estate marketplace. In this paper, we aim to develop methods for ranking estates based on investment values by mining users' opinions about estates from online user reviews and offline moving behaviors (e.g., Taxi traces, smart card transactions, check-ins). While a variety of features could be extracted from these data, these features are Interco related and redundant. Thus, selecting good features and integrating the feature selection into the fitting of a ranking model are essential. To this end, in this paper, we first strategically mine the fine-grained discrminative features from user reviews and moving behaviors, and then propose a probabilistic sparse pair wise ranking method for estates. Specifically, we first extract the explicit features from online user reviews which express users' opinions about point of interests (POIs) near an estate. We also mine the implicit features from offline moving behaviors from multiple perspectives (e.g., Direction, volume, velocity, heterogeneity, topic, popularity, etc.). Then we learn an estate ranking predictor by combining a pair wise ranking objective and a sparsity regularization in a unified probabilistic framework. And we develop an effective solution for the optimization problem. Finally, we conduct a comprehensive performance evaluation with real world estate related data, and the experimental results demonstrate the competitive performance of both features and the proposed model.",[]
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Exploiting geographic dependencies for real estate appraisal: a mutual perspective of ranking and clustering,"['Yanjie Fu', 'Hui Xiong', 'Yong Ge', 'Zijun Yao', 'Yu Zheng', 'Zhi-Hua Zhou']",KDD '14: Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining,,https://doi.org/10.1145/2623330.2623675,24 August 2014,81,"1,076","It is traditionally a challenge for home buyers to understand, compare and contrast the investment values of real estates. While a number of estate appraisal methods have been developed to value real property, the performances of these methods have been limited by the traditional data sources for estate appraisal. However, with the development of new ways of collecting estate-related mobile data, there is a potential to leverage geographic dependencies of estates for enhancing estate appraisal. Indeed, the geographic dependencies of the value of an estate can be from the characteristics of its own neighborhood (individual), the values of its nearby estates (peer), and the prosperity of the affiliated latent business area (zone). To this end, in this paper, we propose a geographic method, named ClusRanking, for estate appraisal by leveraging the mutual enforcement of ranking and clustering power. ClusRanking is able to exploit geographic individual, peer, and zone dependencies in a probabilistic ranking model. Specifically, we first extract the geographic utility of estates from geography data, estimate the neighborhood popularity of estates by mining taxicab trajectory data, and model the influence of latent business areas via ClusRanking. Also, we use a linear model to fuse these three influential factors and predict estate investment values. Moreover, we simultaneously consider individual, peer and zone dependencies, and derive an estate-specific ranking likelihood as the objective function. Finally, we conduct a comprehensive evaluation with real-world estate related data, and the experimental results demonstrate the effectiveness of our method.","['https://dl.acm.org/doi/10.1145/1273496.1273513', 'https://dl.acm.org/doi/10.1145/133160.133199', 'https://dl.acm.org/doi/10.5555/945365.964285', 'https://dl.acm.org/doi/10.1145/65943.65944', 'https://dl.acm.org/doi/10.1016/j.asoc.2009.12.003', 'https://dl.acm.org/doi/10.1016/j.ipm.2008.11.002', 'https://dl.acm.org/doi/10.1145/2487575.2487673', 'https://dl.acm.org/doi/10.1007/s10791-006-9019-z', 'https://dl.acm.org/doi/10.5555/1795114.1795167', 'https://dl.acm.org/doi/10.1016/j.ins.2012.12.002', 'https://dl.acm.org/doi/10.5555/1953048.1953057', 'https://dl.acm.org/doi/10.1145/1277741.1277809', 'https://dl.acm.org/doi/10.1145/2339530.2339561', 'https://dl.acm.org/doi/10.1145/2629592', 'https://dl.acm.org/doi/10.1145/1148020.1148023']"
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Optimal network location queries,"['Parisa Ghaemi', 'Kaveh Shahabi', 'John P. Wilson', 'Farnoush Banaei-Kashani']",GIS '10: Proceedings of the 18th SIGSPATIAL International Conference on Advances in Geographic Information Systems,,https://doi.org/10.1145/1869790.1869866,02 November 2010,21,199,"Given a set S of sites and a set O of weighted objects, an optimal location query finds the location(s) where introducing a new site maximizes the total weight of the objects that are closer to the new site than to any other site. With such a query, for instance, a franchise corporation (e.g., McDonald's) can find a location to open a new store such that the number of potential store customers (i.e., people living close to the store) is maximized. Optimal location queries are computationally complex to compute and require efficient solutions that scale with large datasets. Previously, two specific approaches have been proposed for efficient computation of optimal location queries. However, they both assume p-norm distance (namely, L1 and L2/Euclidean); hence, they are not applicable where sites and objects are located on spatial networks. In this paper, we focus on optimal network location (ONL) queries, i.e., optimal location queries with which objects and sites reside on a spatial network. We introduce an approach, namely EONL (short for Expansion-based ONL), which enables efficient computation of ONL queries. Moreover, with an extensive experimental study we verify and compare the efficiency of our proposed approach with real datasets, and we demonstrate the importance of considering network distance (rather than p-norm distance) with ONL queries.","['https://dl.acm.org/doi/10.1007/11535331_10', 'https://dl.acm.org/doi/10.5555/1315451.1315520', 'https://dl.acm.org/doi/10.14778/1687627.1687754']"
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Support Vector Machines,['Marti A. Hearst'],IEEE Intelligent Systems,,https://doi.org/10.1109/5254.708428,01 July 1998,678,0,No abstract available.,"['https://dl.acm.org/doi/10.1145/130385.130401', 'https://dl.acm.org/doi/10.5555/211359', 'https://dl.acm.org/doi/10.1162/089976698300017467', 'https://dl.acm.org/doi/10.5555/299094', 'https://dl.acm.org/doi/10.5555/302528.302628', 'https://dl.acm.org/doi/10.5555/889153', 'https://dl.acm.org/doi/10.1023/A:1009982220290', 'https://dl.acm.org/doi/10.5555/645326.649721', 'https://dl.acm.org/doi/10.1145/288627.288651', 'https://dl.acm.org/doi/10.5555/576628', 'https://dl.acm.org/doi/10.5555/299094.299105', 'https://dl.acm.org/doi/10.1016/0167-8655(94)90027-2', 'https://dl.acm.org/doi/10.5555/929901', 'https://dl.acm.org/doi/10.5555/888836', 'https://dl.acm.org/doi/10.5555/1098680', 'https://dl.acm.org/doi/10.1023/A:1009715923555', 'https://dl.acm.org/doi/10.5555/299094.299105', 'https://dl.acm.org/doi/10.5555/299094.299103', 'https://dl.acm.org/doi/10.5555/299094.299104']"
https://dl.acm.org/doi/10.1145/2996913.2996996,1,Cumulated gain-based evaluation of IR techniques,"['Kalervo Järvelin', 'Jaana Kekäläinen']",ACM Transactions on Information Systems (TOIS),,https://doi.org/10.1145/582415.582418,01 October 2002,"3,225","9,826","Modern large retrieval environments tend to overwhelm their users by their large output. Since all documents are not of equal relevance to their users, highly relevant documents should be identified and ranked first for presentation. In order to develop IR techniques in this direction, it is necessary to develop evaluation approaches and methods that credit IR methods for their ability to retrieve highly relevant documents. This can be done by extending traditional evaluation methods, that is, recall and precision based on binary relevance judgments, to graded relevance judgments. Alternatively, novel measures based on graded relevance judgments may be developed. This article proposes several novel measures that compute the cumulative gain the user obtains by examining the retrieval result up to a given ranked position. The first one accumulates the relevance scores of retrieved documents along the ranked result list. The second one is similar but applies a discount factor to the relevance scores in order to devaluate late-retrieved documents. The third one computes the relative-to-the-ideal performance of IR techniques, based on the cumulative gain they are able to yield. These novel measures are defined and discussed and their use is demonstrated in a case study using TREC data: sample system run results for 20 queries in TREC-7. As a relevance base we used novel graded relevance judgments on a four-point scale. The test results indicate that the proposed measures credit IR methods for their ability to retrieve highly relevant documents and allow testing of statistical significance of effectiveness differences. The graphs based on the measures also provide insight into the performance IR techniques and allow interpretation, for example, from the user point of view.",[]
